,Fold,Epoch,Training Accuracy,Model
117,0,2,1.0,RPT_XGBClassifier_5
118,0,3,1.0,RPT_XGBClassifier_5
119,0,4,1.0,RPT_XGBClassifier_5
120,0,0,0.955,Massage_XGBClassifier_5
121,0,1,0.94125,Massage_XGBClassifier_5
122,0,2,0.9475,Massage_XGBClassifier_5
123,0,3,0.97375,Massage_XGBClassifier_5
124,0,4,0.93625,Massage_XGBClassifier_5
125,0,0,0.7575,GaussianNB_6
126,0,1,0.7425,GaussianNB_6
127,0,2,0.74625,GaussianNB_6
128,0,3,0.75875,GaussianNB_6
129,0,4,0.73875,GaussianNB_6
130,0,0,0.74375,RPT_GaussianNB_6
131,0,1,0.715,RPT_GaussianNB_6
132,0,2,0.75125,RPT_GaussianNB_6
133,0,3,0.74375,RPT_GaussianNB_6
134,0,4,0.71875,RPT_GaussianNB_6
135,0,0,0.74625,Massage_GaussianNB_6
136,0,1,0.725,Massage_GaussianNB_6
137,0,2,0.73375,Massage_GaussianNB_6
138,0,3,0.7475,Massage_GaussianNB_6
139,0,4,0.7225,Massage_GaussianNB_6
140,0,0,0.40375,MLPClassifier_7
141,0,1,0.73875,MLPClassifier_7
142,0,2,0.71125,MLPClassifier_7
143,0,3,0.7025,MLPClassifier_7
144,0,4,0.70125,MLPClassifier_7
145,0,0,0.69625,RPT_MLPClassifier_7
146,0,1,0.705,RPT_MLPClassifier_7
147,0,2,0.71375,RPT_MLPClassifier_7
148,0,3,0.71375,RPT_MLPClassifier_7
149,0,4,0.7225,RPT_MLPClassifier_7
150,0,0,0.5275,Massage_MLPClassifier_7
151,0,1,0.405,Massage_MLPClassifier_7
152,0,2,0.71125,Massage_MLPClassifier_7
153,0,3,0.63625,Massage_MLPClassifier_7
154,0,4,0.70125,Massage_MLPClassifier_7
155,0,0,0.435,MLPClassifier_8
156,0,1,0.68875,MLPClassifier_8
157,0,2,0.41625,MLPClassifier_8
158,0,3,0.7025,MLPClassifier_8
159,0,4,0.70125,MLPClassifier_8
160,0,0,0.55375,RPT_MLPClassifier_8
161,0,1,0.68875,RPT_MLPClassifier_8
162,0,2,0.71125,RPT_MLPClassifier_8
163,0,3,0.49,RPT_MLPClassifier_8
164,0,4,0.71375,RPT_MLPClassifier_8
165,0,0,0.69625,Massage_MLPClassifier_8
166,0,1,0.68875,Massage_MLPClassifier_8
167,0,2,0.71125,Massage_MLPClassifier_8
168,0,3,0.68875,Massage_MLPClassifier_8
169,0,4,0.70125,Massage_MLPClassifier_8
170,0,0,0.69625,MLPClassifier_9
171,0,1,0.59,MLPClassifier_9
172,0,2,0.71125,MLPClassifier_9
173,0,3,0.7025,MLPClassifier_9
174,0,4,0.61,MLPClassifier_9
175,0,0,0.31,RPT_MLPClassifier_9
176,0,1,0.68875,RPT_MLPClassifier_9
177,0,2,0.71125,RPT_MLPClassifier_9
178,0,3,0.7025,RPT_MLPClassifier_9
179,0,4,0.52625,RPT_MLPClassifier_9
180,0,0,0.32125,Massage_MLPClassifier_9
181,0,1,0.68875,Massage_MLPClassifier_9
182,0,2,0.71125,Massage_MLPClassifier_9
183,0,3,0.65125,Massage_MLPClassifier_9
184,0,4,0.3625,Massage_MLPClassifier_9
185,0,0,0.69625,MLPClassifier_10
186,0,1,0.68875,MLPClassifier_10
187,0,2,0.71125,MLPClassifier_10
188,0,3,0.3375,MLPClassifier_10
189,0,4,0.32625,MLPClassifier_10
190,0,0,0.69625,RPT_MLPClassifier_10
191,0,1,0.68875,RPT_MLPClassifier_10
192,0,2,0.71125,RPT_MLPClassifier_10
193,0,3,0.7075,RPT_MLPClassifier_10
194,0,4,0.74,RPT_MLPClassifier_10
195,0,0,0.69625,Massage_MLPClassifier_10
196,0,1,0.68875,Massage_MLPClassifier_10
197,0,2,0.46125,Massage_MLPClassifier_10
198,0,3,0.38375,Massage_MLPClassifier_10
199,0,4,0.70125,Massage_MLPClassifier_10
