Fold,Epoch,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
0,0,1.0,RandomForestClassifier_0,0.9909729187562688,1.0066889632107023,1.338860103626943,0.015544041450777257,0.006644518272425293,0.9989969909729187
0,1,1.0,RandomForestClassifier_0,0.9879638916750251,1.0,1.4021479061738646,0.012321740787696434,0.0,1.0
0,2,1.0,RandomForestClassifier_0,0.9869608826479438,1.006831906264083,1.2985275475377864,0.01390515100935863,0.006746773475745482,0.9989969909729187
0,3,1.0,RandomForestClassifier_0,0.9859578736208626,1.0031645569620253,1.3119609279609281,0.011521865405360598,0.003154574132492094,1.0
0,4,1.0,RandomForestClassifier_0,0.991008991008991,1.0,1.461818181818182,0.006519742883379198,0.0,0.999000999000999
0,0,1.0,RandomForestClassifier_1,0.9919759277833501,1.0066889632107023,1.3344847438111687,0.013816925734024155,0.006644518272425293,1.0
0,1,1.0,RandomForestClassifier_1,0.9859578736208626,1.0002164970772895,1.4110772976262933,0.015752272520115018,0.00021505376344088667,1.0
0,2,1.0,RandomForestClassifier_1,0.9869608826479438,1.0036657681940702,1.2951345795842384,0.009765576343389593,0.0036315086782376937,1.0
0,3,1.0,RandomForestClassifier_1,0.9859578736208626,1.0063492063492063,1.2925019425019426,0.007385279229939479,0.006309148264984188,1.0
0,4,1.0,RandomForestClassifier_1,0.99000999000999,1.0,1.4661818181818183,0.00817263544536273,0.0,1.0
0,0,1.0,RandomForestClassifier_2,0.9919759277833501,1.0033333333333334,1.3432354634427173,0.013816925734024155,0.0033222591362126463,1.0
0,1,1.0,RandomForestClassifier_2,0.9879638916750251,1.0033444816053512,1.4065839820556802,0.016452465591103804,0.0033333333333332993,1.0
0,2,1.0,RandomForestClassifier_2,0.9869608826479438,1.006831906264083,1.2985275475377864,0.01390515100935863,0.006746773475745482,1.0
0,3,1.0,RandomForestClassifier_2,0.9869608826479438,1.0031645569620253,1.2965034965034967,0.005675877520537664,0.003154574132492094,1.0
0,4,1.0,RandomForestClassifier_2,0.991008991008991,1.0,1.461818181818182,0.006519742883379198,0.0,0.999000999000999
0,0,1.0,XGBClassifier_3,0.9909729187562688,1.0066889632107023,1.338860103626943,0.015544041450777257,0.006644518272425293,1.0
0,1,1.0,XGBClassifier_3,0.9849548645937813,1.0004359197907584,1.4017954601144995,0.01333681358291694,0.0004301075268816623,1.0
0,2,1.0,XGBClassifier_3,0.9829488465396189,1.001578231292517,1.2938978462986939,0.008312365578004188,0.0015487316421896047,0.9939819458375125
0,3,1.0,XGBClassifier_3,0.9869608826479438,1.0063492063492063,1.2885003885003887,0.005675877520537664,0.006309148264984188,1.0
0,4,1.0,XGBClassifier_3,0.99000999000999,1.0061349693251533,1.462843197071385,0.012350780532598749,0.0060975609756097615,0.999000999000999
0,0,1.0,XGBClassifier_4,0.9889669007021064,1.0134680134680134,1.3301093839953946,0.01899827288428324,0.013289036544850474,0.9979939819458375
0,1,1.0,XGBClassifier_4,0.9839518555667001,1.003827227993439,1.3971842908378072,0.015052079449126121,0.0037634408602150726,0.9989969909729187
0,2,1.0,XGBClassifier_4,0.9809428284854563,1.0042629939334318,1.305431158634023,0.007585760195311542,0.004165554072096178,0.9969909729187563
0,3,1.0,XGBClassifier_4,0.9869608826479438,1.0063492063492063,1.2885003885003887,0.005675877520537664,0.006309148264984188,1.0
0,4,1.0,XGBClassifier_4,0.99000999000999,1.0061349693251533,1.462843197071385,0.012350780532598749,0.0060975609756097615,0.999000999000999
0,0,1.0,XGBClassifier_5,0.9909729187562688,1.0100671140939597,1.3301093839953946,0.015544041450777257,0.009966777408637828,0.9979939819458375
0,1,1.0,XGBClassifier_5,0.9849548645937813,1.003827227993439,1.3925731215611148,0.01333681358291694,0.0037634408602150726,0.9989969909729187
