,Fold,Epoch,Training Accuracy,Model
130,0,0,0.9666833667334669,RPT_GaussianNB_6
131,0,1,0.970691382765531,RPT_GaussianNB_6
132,0,2,0.968687374749499,RPT_GaussianNB_6
133,0,3,0.969939879759519,RPT_GaussianNB_6
134,0,4,0.9676529588766299,RPT_GaussianNB_6
135,0,0,0.9253507014028056,Massage_GaussianNB_6
136,0,1,0.970440881763527,Massage_GaussianNB_6
137,0,2,0.9666833667334669,Massage_GaussianNB_6
138,0,3,0.9679358717434869,Massage_GaussianNB_6
139,0,4,0.9663991975927784,Massage_GaussianNB_6
140,0,0,0.9030561122244489,MLPClassifier_7
141,0,1,0.9852204408817635,MLPClassifier_7
142,0,2,0.9889779559118237,MLPClassifier_7
143,0,3,0.9842184368737475,MLPClassifier_7
144,0,4,0.9842026078234705,MLPClassifier_7
145,0,0,0.9574148296593187,RPT_MLPClassifier_7
146,0,1,0.9804609218436874,RPT_MLPClassifier_7
147,0,2,0.9869739478957916,RPT_MLPClassifier_7
148,0,3,0.968937875751503,RPT_MLPClassifier_7
149,0,4,0.9902206619859579,RPT_MLPClassifier_7
150,0,0,0.970691382765531,Massage_MLPClassifier_7
151,0,1,0.8992985971943888,Massage_MLPClassifier_7
152,0,2,0.9892284569138277,Massage_MLPClassifier_7
153,0,3,0.9864729458917836,Massage_MLPClassifier_7
154,0,4,0.9842026078234705,Massage_MLPClassifier_7
155,0,0,0.9008016032064128,MLPClassifier_8
156,0,1,0.9048096192384769,MLPClassifier_8
157,0,2,0.9772044088176353,MLPClassifier_8
158,0,3,0.936623246492986,MLPClassifier_8
159,0,4,0.9651454363089268,MLPClassifier_8
160,0,0,0.9842184368737475,RPT_MLPClassifier_8
161,0,1,0.9040581162324649,RPT_MLPClassifier_8
162,0,2,0.9714428857715431,RPT_MLPClassifier_8
163,0,3,0.876002004008016,RPT_MLPClassifier_8
164,0,4,0.7615346038114343,RPT_MLPClassifier_8
165,0,0,0.8549599198396793,Massage_MLPClassifier_8
166,0,1,0.8925350701402806,Massage_MLPClassifier_8
167,0,2,0.9105711422845691,Massage_MLPClassifier_8
168,0,3,0.9230961923847696,Massage_MLPClassifier_8
169,0,4,0.9468405215646941,Massage_MLPClassifier_8
170,0,0,0.968937875751503,MLPClassifier_9
171,0,1,0.8409318637274549,MLPClassifier_9
172,0,2,0.8975450901803608,MLPClassifier_9
173,0,3,0.8997995991983968,MLPClassifier_9
174,0,4,0.9089769307923772,MLPClassifier_9
175,0,0,0.8942885771543087,RPT_MLPClassifier_9
176,0,1,0.9574148296593187,RPT_MLPClassifier_9
177,0,2,0.9005511022044088,RPT_MLPClassifier_9
178,0,3,0.9436372745490982,RPT_MLPClassifier_9
179,0,4,0.9287863590772317,RPT_MLPClassifier_9
180,0,0,0.9173346693386774,Massage_MLPClassifier_9
181,0,1,0.9093186372745491,Massage_MLPClassifier_9
182,0,2,0.9070641282565131,Massage_MLPClassifier_9
183,0,3,0.9098196392785571,Massage_MLPClassifier_9
184,0,4,0.8944332998996991,Massage_MLPClassifier_9
185,0,0,0.8910320641282565,MLPClassifier_10
186,0,1,0.9198396793587175,MLPClassifier_10
187,0,2,0.9135771543086172,MLPClassifier_10
188,0,3,0.9797094188376754,MLPClassifier_10
189,0,4,0.7153961885656971,MLPClassifier_10
190,0,0,0.9797094188376754,RPT_MLPClassifier_10
191,0,1,0.9724448897795591,RPT_MLPClassifier_10
192,0,2,0.9849699398797596,RPT_MLPClassifier_10
193,0,3,0.9739478957915831,RPT_MLPClassifier_10
194,0,4,0.8994483450351053,RPT_MLPClassifier_10
195,0,0,0.4877254509018036,Massage_MLPClassifier_10
196,0,1,0.9839679358717435,Massage_MLPClassifier_10
197,0,2,0.9719438877755511,Massage_MLPClassifier_10
198,0,3,0.967685370741483,Massage_MLPClassifier_10
199,0,4,0.9729187562688064,Massage_MLPClassifier_10
