Fold,Epoch,Training Accuracy,Model,Validation Accuracy,Validation Recall Parity,Validation Positive Parity,Validation Accuracy Parity,Validation TNR Parity,Validation Counterfactual Invariance
0,0,1.0,RandomForestClassifier_0,0.9909729187562688,1.0066889632107023,1.338860103626943,0.015544041450777257,0.006644518272425293,0.9989969909729187
0,1,1.0,RandomForestClassifier_0,0.9859578736208626,1.0101010101010102,1.3840556751264599,0.015752272520115018,0.010000000000000009,0.9989969909729187
0,2,1.0,RandomForestClassifier_0,0.9909729187562688,1.0057471264367817,1.3145587518283766,0.007079212442805738,0.005714285714285672,1.0
0,3,1.0,RandomForestClassifier_0,0.9869608826479438,1.0031645569620253,1.2965034965034967,0.005675877520537664,0.003154574132492094,1.0
0,4,1.0,RandomForestClassifier_0,0.991008991008991,1.0,1.461818181818182,0.006519742883379198,0.0,0.999000999000999
0,0,1.0,XGBClassifier_1,0.9889669007021064,1.0134680134680134,1.3301093839953946,0.01899827288428324,0.013289036544850474,0.9979939819458375
0,1,1.0,XGBClassifier_1,0.9839518555667001,1.003827227993439,1.3971842908378072,0.015052079449126121,0.0037634408602150726,0.9989969909729187
0,2,1.0,XGBClassifier_1,0.9809428284854563,1.0042629939334318,1.305431158634023,0.007585760195311542,0.004165554072096178,0.9969909729187563
0,3,1.0,XGBClassifier_1,0.9869608826479438,1.0063492063492063,1.2885003885003887,0.005675877520537664,0.006309148264984188,1.0
0,4,1.0,XGBClassifier_1,0.99000999000999,1.0061349693251533,1.462843197071385,0.012350780532598749,0.0060975609756097615,0.999000999000999
0,0,0.5200400801603207,Pareto,0.5325977933801405,0.0,0.0,0.12512498863739657,0.0,1.0
0,1,0.5172845691382766,Pareto,0.5436308926780341,0.0,0.0,0.14018362459707823,0.0,1.0
0,2,0.5275551102204409,Pareto,0.5025075225677031,0.0,0.0,0.12199081570796272,0.0,1.0
0,3,0.5258016032064128,Pareto,0.5095285857572718,0.0,0.0,0.12440461372500206,0.0,1.0
0,4,0.5220661985957874,Pareto,0.5244755244755245,0.0,0.0,0.16841138659320481,0.0,1.0
0,0,1.0,Regularized_Selection_0.2,0.9939819458375125,1.0033333333333334,1.3344847438111687,0.010362694300518172,0.0033222591362126463,1.0
0,1,1.0,Regularized_Selection_0.2,0.9849548645937813,1.0002164970772895,1.4020319303338171,0.01333681358291694,0.00021505376344088667,0.9989969909729187
0,2,1.0,Regularized_Selection_0.2,0.9869608826479438,1.006831906264083,1.2985275475377864,0.01390515100935863,0.006746773475745482,1.0
0,3,1.0,Regularized_Selection_0.2,0.9879638916750251,1.0031645569620253,1.303912087912088,0.00810306198655708,0.003154574132492094,1.0
0,4,1.0,Regularized_Selection_0.2,0.991008991008991,1.0,1.461818181818182,0.006519742883379198,0.0,1.0
0,0,1.0,Regularized_Selection_0.5,0.9939819458375125,1.0033333333333334,1.3344847438111687,0.010362694300518172,0.0033222591362126463,1.0
