Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
2,0.978936810431294,MLPClassifier_7,1.2811063544358738,0.9889779559118236,0.010998729478588,0.9979939819458375,1.008562241616904,0.0082955051179349
3,0.9819458375125376,MLPClassifier_7,1.3381196581196582,0.9842184368737475,0.0142228860675462,0.9979939819458375,1.0049091893304465,0.0048235639351478
4,0.978021978021978,MLPClassifier_7,1.4588235294117646,0.9842026078234704,0.0071166207529844,0.999000999000999,1.003733200597312,0.0037079762689519
0,0.962888665997994,RPT_MLPClassifier_7,1.3567387290810553,0.9574148296593188,0.0185892191618943,0.9749247743229688,1.0060975609756098,0.0060606060606061
1,0.9719157472417252,RPT_MLPClassifier_7,1.3639501317826217,0.9804609218436874,0.0108509210231934,0.9979939819458375,1.0067114093959733,0.0066666666666667
2,0.978936810431294,RPT_MLPClassifier_7,1.26165117100153,0.9869739478957916,0.0068591548126188,0.9939819458375124,1.011815668202765,0.0114107699154427
3,0.966900702106319,RPT_MLPClassifier_7,1.3568207059732484,0.968937875751503,0.0274541531823084,0.970912738214644,1.002674931281938,0.00265937935588
4,0.982017982017982,RPT_MLPClassifier_7,1.464935064935065,0.990220661985958,0.0088613406795224,0.997002997002997,1.00201850294365,0.001977587343441
0,0.9729187562688064,Massage_MLPClassifier_7,1.3581390328151988,0.970691382765531,0.0069208584343571,1.0,1.0330948121645795,0.0312896405919661
1,0.8796389167502507,Massage_MLPClassifier_7,1.2678241224950844,0.8992985971943888,0.000704336225255,1.0,1.0067114093959733,0.0066666666666667
2,0.9769307923771314,Massage_MLPClassifier_7,1.2858361774744027,0.9892284569138275,0.0102721240958952,0.9989969909729188,1.0053296703296704,0.0051802403204271
3,0.9859578736208626,Massage_MLPClassifier_7,1.3189862160960428,0.9864729458917836,0.0032486930545182,0.9989969909729188,1.008573019113008,0.0084733328442521
4,0.98001998001998,Massage_MLPClassifier_7,1.4781456953642382,0.9842026078234704,0.0121671258034894,1.0,1.003733200597312,0.0037079762689519
0,0.8956870611835507,MLPClassifier_8,1.2009749326102046,0.9008016032064128,0.0222335159613589,0.9989969909729188,1.0,0.0
1,0.8866599799398195,MLPClassifier_8,1.2655605183159826,0.9048096192384768,0.0003190228784978,1.0,1.0101010101010102,0.01
2,0.9618856569709128,MLPClassifier_8,1.282377769250964,0.9772044088176352,0.0013867782732533,0.9979939819458375,1.0105615074842338,0.0098976412995104
3,0.9297893681043128,MLPClassifier_8,1.275597418454561,0.936623246492986,0.0038337067463281,0.9969909729187564,1.0053813323436631,0.00531875871176
4,0.9590409590409592,MLPClassifier_8,1.5058823529411764,0.9651454363089268,0.0301652892561983,0.998001998001998,1.0013364517206815,0.0013183915622939
0,0.9829488465396188,RPT_MLPClassifier_8,1.3250136905514134,0.9842184368737475,0.0005247456842766,0.995987963891675,1.007820721817544,0.0076311285613611
1,0.8866599799398195,RPT_MLPClassifier_8,1.2558281016316148,0.9040581162324648,0.0044497476819052,0.9989969909729188,1.0101010101010102,0.01
2,0.9648946840521564,RPT_MLPClassifier_8,1.2366175678103106,0.9714428857715433,0.002366657532199,0.9658976930792376,1.009433962264151,0.0093457943925233
3,0.880641925777332,RPT_MLPClassifier_8,1.2158982024452876,0.876002004008016,0.0075470915276739,1.0,1.0,0.0
4,0.7662337662337663,RPT_MLPClassifier_8,1.4433566433566436,0.7615346038114343,0.0859504132231405,0.936063936063936,1.009755317447625,0.0050263678312458
0,0.8776328986960883,Massage_MLPClassifier_8,1.2745261092987057,0.8549599198396793,0.0006156465114741,0.9989969909729188,1.0248447204968945,0.0207792207792207
1,0.872617853560682,Massage_MLPClassifier_8,1.2590051457975986,0.8925350701402806,0.0052203743754195,0.9989969909729188,1.003584229390681,0.0035483870967741
2,0.8936810431293881,Massage_MLPClassifier_8,1.2216266884583953,0.9105711422845691,0.0012539132889896,0.9979939819458375,1.001578231292517,0.0015487316421896
3,0.9197592778335004,Massage_MLPClassifier_8,1.2726972970627792,0.9230961923847696,0.0002447929632396,0.9939819458375124,1.0108907916478895,0.0106375174235199
4,0.95004995004995,Massage_MLPClassifier_8,1.5211267605633805,0.946840521564694,0.0157943067033975,0.994005994005994,1.02759480149546,0.0255438365194462
0,0.9658976930792376,MLPClassifier_9,1.4199636276292764,0.968937875751503,0.0154283494888894,0.9949849548645938,1.0705924323842226,0.0637471056075706
1,0.8535606820461384,MLPClassifier_9,1.6105815989107175,0.8409318637274549,0.0025853282621125,0.9909729187562688,1.1678819444444444,0.1039784946236559
2,0.8786359077231695,MLPClassifier_9,1.212359824475865,0.8975450901803608,0.0046336663262001,1.0,1.0022012050665026,0.0021005785491766
3,0.9037111334002006,MLPClassifier_9,1.2077961498522247,0.8997995991983968,0.0179072276159654,1.0,1.002674931281938,0.00265937935588
4,0.9150849150849152,MLPClassifier_9,1.498683385579937,0.9089769307923772,0.027685950413223,0.994005994005994,1.021181001283697,0.0190342781806196
0,0.8966900702106319,RPT_MLPClassifier_9,1.2139990891827563,0.8942885771543087,0.0198411714637513,0.9939819458375124,1.006707202407071,0.0064633041377227
1,0.9448345035105316,RPT_MLPClassifier_9,1.3386171408292424,0.9574148296593188,0.0158558513767701,0.9769307923771314,1.0135135135135136,0.0133333333333333
2,0.8816449348044132,RPT_MLPClassifier_9,1.1999660320592658,0.9005511022044088,0.0138926949170838,0.9899699097291876,1.005465704105807,0.0052158433466844
3,0.9488465396188566,RPT_MLPClassifier_9,1.2591556591556592,0.9436372745490982,0.016857522197328,0.9749247743229688,1.0203588959523615,0.018560633849314
4,0.934065934065934,RPT_MLPClassifier_9,1.5884192240880135,0.9287863590772316,0.0631313131313131,0.958041958041958,1.003733200597312,0.0037079762689519
0,0.9267803410230692,Massage_MLPClassifier_9,1.2718014801292206,0.9173346693386774,0.0024956408921502,0.9989969909729188,1.0005878179791223,0.0005839122118191
1,0.9127382146439318,Massage_MLPClassifier_9,1.4551640750217925,0.9093186372745492,0.0129142118477638,0.995987963891675,1.0502732240437158,0.0395698924731182
2,0.8886659979939819,Massage_MLPClassifier_9,1.2129113567335692,0.9070641282565132,0.0031389352532323,0.995987963891675,1.0100180831826402,0.0098620382732532
3,0.905717151454363,Massage_MLPClassifier_9,1.225834542815675,0.9098196392785572,0.0130528586839265,1.0,1.0058479532163742,0.0058139534883721
4,0.914085914085914,Massage_MLPClassifier_9,1.4206611570247936,0.8944332998996991,0.0168044077134985,0.999000999000999,1.003733200597312,0.0037079762689519
0,0.8946840521564694,MLPClassifier_10,1.2133920390506538,0.8910320641282565,0.0163869400302452,0.9989969909729188,1.0,0.0
1,0.8936810431293881,MLPClassifier_10,1.2789597047228185,0.9198396793587176,0.0083277400750739,1.0,1.014460511679644,0.0139784946236558
2,0.8966900702106319,MLPClassifier_10,1.2306361395525216,0.9135771543086172,0.006045356784003,0.9979939819458375,1.006269592476489,0.0062305295950155
3,0.9819458375125376,MLPClassifier_10,1.3245143745143746,0.9797094188376754,0.0142228860675462,0.9949849548645938,1.0,0.0
4,0.7172827172827173,MLPClassifier_10,1.75368782161235,0.7153961885656971,0.0708448117539026,0.995004995004995,1.2004141739530605,0.0717699406723796
0,0.9819458375125376,RPT_MLPClassifier_10,1.3317671290187625,0.9797094188376754,0.0146102420441116,0.995987963891675,1.005832295558323,0.0056579079834893
1,0.966900702106319,RPT_MLPClassifier_10,1.3761637191695748,0.9724448897795592,0.0070350759440176,0.9879638916750252,1.0046296296296295,0.0043010752688171
