,Fold,Epoch,Training Accuracy,Model
120,0,0,0.8312764648402157,Massage_XGBClassifier_5
121,0,1,0.8354384568057617,Massage_XGBClassifier_5
122,0,2,0.8332669827367811,Massage_XGBClassifier_5
123,0,3,0.8277659150953639,Massage_XGBClassifier_5
124,0,4,0.82543072245548,Massage_XGBClassifier_5
125,0,0,0.5712786363142847,GaussianNB_6
126,0,1,0.5712786363142847,GaussianNB_6
127,0,2,0.5735224928522312,GaussianNB_6
128,0,3,0.5737758314936122,GaussianNB_6
129,0,4,0.5696756913276386,GaussianNB_6
130,0,0,0.5704462379211754,RPT_GaussianNB_6
131,0,1,0.5680938076797799,RPT_GaussianNB_6
132,0,2,0.5723643733487749,RPT_GaussianNB_6
133,0,3,0.5717129311280807,RPT_GaussianNB_6
134,0,4,0.5684812509048791,RPT_GaussianNB_6
135,0,0,0.5712424450798017,Massage_GaussianNB_6
136,0,1,0.5713148275487677,Massage_GaussianNB_6
137,0,2,0.5734139191487821,Massage_GaussianNB_6
138,0,3,0.5736310665556802,Massage_GaussianNB_6
139,0,4,0.5697480816562908,Massage_GaussianNB_6
140,0,0,0.5772139987694981,MLPClassifier_7
141,0,1,0.5832941261626434,MLPClassifier_7
142,0,2,0.4793167094929608,MLPClassifier_7
143,0,3,0.5680938076797799,MLPClassifier_7
144,0,4,0.5834660489358622,MLPClassifier_7
145,0,0,0.5801816799971047,RPT_MLPClassifier_7
146,0,1,0.5124678802793964,RPT_MLPClassifier_7
147,0,2,0.4848539683688611,RPT_MLPClassifier_7
148,0,3,0.5619412978176686,RPT_MLPClassifier_7
149,0,4,0.5022441001882149,RPT_MLPClassifier_7
150,0,0,0.4690745901342695,Massage_MLPClassifier_7
151,0,1,0.5872389707212913,Massage_MLPClassifier_7
152,0,2,0.5606022221417972,Massage_MLPClassifier_7
153,0,3,0.5583583656038508,Massage_MLPClassifier_7
154,0,4,0.5312002316490517,Massage_MLPClassifier_7
155,0,0,0.4620172994100829,MLPClassifier_8
156,0,1,0.5750063334660346,MLPClassifier_8
157,0,2,0.5643661105280301,MLPClassifier_8
158,0,3,0.4953494263689334,MLPClassifier_8
159,0,4,0.5974735775300419,MLPClassifier_8
160,0,0,0.5914009626868373,RPT_MLPClassifier_8
161,0,1,0.5952372335420362,RPT_MLPClassifier_8
162,0,2,0.4296261445477905,RPT_MLPClassifier_8
163,0,3,0.46447830335492746,RPT_MLPClassifier_8
164,0,4,0.5611698277110178,RPT_MLPClassifier_8
165,0,0,0.44489884549962,Massage_MLPClassifier_8
166,0,1,0.4484817777134378,Massage_MLPClassifier_8
167,0,2,0.5701567080453114,Massage_MLPClassifier_8
168,0,3,0.5899533133075169,Massage_MLPClassifier_8
169,0,4,0.45627624149413637,Massage_MLPClassifier_8
170,0,0,0.5713148275487677,MLPClassifier_9
171,0,1,0.5988563569903369,MLPClassifier_9
172,0,2,0.5852122615902429,MLPClassifier_9
173,0,3,0.6034164525351959,MLPClassifier_9
174,0,4,0.5622556826407992,MLPClassifier_9
175,0,0,0.5847055843074808,RPT_MLPClassifier_9
176,0,1,0.5573088198038435,RPT_MLPClassifier_9
177,0,2,0.506279179182802,RPT_MLPClassifier_9
178,0,3,0.5698309869349644,RPT_MLPClassifier_9
179,0,4,0.5773128710004344,RPT_MLPClassifier_9
180,0,0,0.5893380623213058,Massage_MLPClassifier_9
181,0,1,0.5589736165900618,Massage_MLPClassifier_9
182,0,2,0.5966125004523904,Massage_MLPClassifier_9
183,0,3,0.5610365169555933,Massage_MLPClassifier_9
184,0,4,0.5616041696829304,Massage_MLPClassifier_9
185,0,0,0.5803988274040027,MLPClassifier_10
186,0,1,0.5380188918244001,MLPClassifier_10
187,0,2,0.42919184973399443,MLPClassifier_10
188,0,3,0.5030943505482972,MLPClassifier_10
189,0,4,0.42855074562038514,MLPClassifier_10
190,0,0,0.6005573450110383,RPT_MLPClassifier_10
191,0,1,0.5785892656798524,RPT_MLPClassifier_10
192,0,2,0.5889399587419927,RPT_MLPClassifier_10
193,0,3,0.4510513553617314,RPT_MLPClassifier_10
194,0,4,0.5823078036774287,RPT_MLPClassifier_10
195,0,0,0.4304223517064167,Massage_MLPClassifier_10
196,0,1,0.5744996561832724,Massage_MLPClassifier_10
197,0,2,0.5830769787557454,Massage_MLPClassifier_10
198,0,3,0.49328652600340195,Massage_MLPClassifier_10
199,0,4,0.566019979730708,Massage_MLPClassifier_10
