,Fold,Epoch,Training Accuracy,Model
99,0,4,0.9089770523594053,XGBClassifier_4
100,0,0,0.9132191338073691,RPT_XGBClassifier_4
101,0,1,0.9097850678733032,RPT_XGBClassifier_4
102,0,2,0.9080882352941176,RPT_XGBClassifier_4
103,0,3,0.9040481577246283,RPT_XGBClassifier_4
104,0,4,0.9096638655462185,RPT_XGBClassifier_4
105,0,0,0.9122495151906916,Massage_XGBClassifier_4
106,0,1,0.9097850678733032,Massage_XGBClassifier_4
107,0,2,0.9110374919198448,Massage_XGBClassifier_4
108,0,3,0.9057449903038138,Massage_XGBClassifier_4
109,0,4,0.9089770523594053,Massage_XGBClassifier_4
110,0,0,0.9353587588881707,XGBClassifier_5
111,0,1,0.9330963154492566,XGBClassifier_5
112,0,2,0.9350355526826115,XGBClassifier_5
113,0,3,0.9297430510665805,XGBClassifier_5
114,0,4,0.9351971557853911,XGBClassifier_5
115,0,0,0.9370959922430511,RPT_XGBClassifier_5
116,0,1,0.9312378797672916,RPT_XGBClassifier_5
117,0,2,0.9348739495798319,RPT_XGBClassifier_5
118,0,3,0.9253393665158371,RPT_XGBClassifier_5
119,0,4,0.9351163542340013,RPT_XGBClassifier_5
120,0,0,0.9353587588881707,Massage_XGBClassifier_5
121,0,1,0.9330963154492566,Massage_XGBClassifier_5
122,0,2,0.9350355526826115,Massage_XGBClassifier_5
123,0,3,0.9297430510665805,Massage_XGBClassifier_5
124,0,4,0.9351971557853911,Massage_XGBClassifier_5
125,0,0,0.7931076276664512,GaussianNB_6
126,0,1,0.794683257918552,GaussianNB_6
127,0,2,0.7927440206851971,GaussianNB_6
128,0,3,0.7948448610213316,GaussianNB_6
129,0,4,0.794683257918552,GaussianNB_6
130,0,0,0.7894715578539108,RPT_GaussianNB_6
131,0,1,0.7942792501616031,RPT_GaussianNB_6
132,0,2,0.7894311570782159,RPT_GaussianNB_6
133,0,3,0.7945620555914673,RPT_GaussianNB_6
134,0,4,0.7914511958629605,RPT_GaussianNB_6
135,0,0,0.7931076276664512,Massage_GaussianNB_6
136,0,1,0.794683257918552,Massage_GaussianNB_6
137,0,2,0.7927440206851971,Massage_GaussianNB_6
138,0,3,0.7948448610213316,Massage_GaussianNB_6
139,0,4,0.794683257918552,Massage_GaussianNB_6
140,0,0,0.24301066580478345,MLPClassifier_7
141,0,1,0.24321266968325791,MLPClassifier_7
142,0,2,0.7907239819004525,MLPClassifier_7
143,0,3,0.7864010989010989,MLPClassifier_7
144,0,4,0.7884615384615384,MLPClassifier_7
145,0,0,0.7938348416289592,RPT_MLPClassifier_7
146,0,1,0.7320216548157724,RPT_MLPClassifier_7
147,0,2,0.7775129282482224,RPT_MLPClassifier_7
148,0,3,0.7903603749191984,RPT_MLPClassifier_7
149,0,4,0.7677763413057531,RPT_MLPClassifier_7
150,0,0,0.7932692307692307,Massage_MLPClassifier_7
151,0,1,0.789754363283775,Massage_MLPClassifier_7
152,0,2,0.7771493212669683,Massage_MLPClassifier_7
153,0,3,0.7767857142857143,Massage_MLPClassifier_7
